EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
305786.700,287811.200,711551.600,711566.300,711353.500,711821.800,384699.800,712253.400,0.000
306260.100,288352.300,711579.200,711594.300,711380.400,711848.900,384801.700,712280.800,0.000
305798.500,287882.600,711545.100,711559.100,711347.400,711815.800,383986.400,712247.600,0.000
305260.800,287294.700,711519.100,711530.700,711322.300,711790.700,382950.000,712222.100,0.000
305561.300,287611.300,711546.000,711557.100,711349.300,711817.300,382728.100,712249.000,0.000
306097.000,288211.800,711574.800,711586.700,711378.000,711846.100,382880.100,712277.900,0.000
305804.800,287929.400,711549.900,711560.900,711353.300,711821.800,382266.800,712253.500,0.000
305187.500,287261.300,711519.100,711527.300,711323.200,711791.800,381193.100,712223.700,0.000
305349.700,287424.800,711537.900,711545.600,711342.500,711810.800,380840.000,712242.900,0.000
305920.800,288061.600,711569.700,711577.800,711374.100,711842.400,381015.300,712274.500,0.000
305798.800,287965.300,711555.100,711562.600,711359.900,711828.000,380586.900,712260.400,0.000
305130.300,287247.300,711515.800,711521.000,711321.800,711789.800,379496.200,712222.200,0.000
305143.600,287249.100,711525.600,711529.600,711331.500,711799.800,378999.200,712232.100,0.000
305732.000,287895.200,711561.500,711565.700,711366.900,711834.900,379180.200,712267.500,0.000
305783.300,287986.100,711557.900,711561.100,711363.400,711831.100,378943.300,712264.000,0.000
305113.500,287276.300,711520.800,711521.900,711327.300,711795.700,377904.800,712228.300,0.000
304970.900,287113.200,711522.300,711521.800,711329.300,711797.700,377269.700,712230.300,0.000
305514.300,287706.400,711557.400,711557.700,711364.100,711832.800,377398.400,712265.100,0.000
305738.800,287980.100,711565.900,711566.800,711372.900,711841.700,377341.900,712274.100,0.000
305115.100,287327.800,711527.400,711525.600,711335.000,711803.700,376386.400,712236.300,0.000
304817.900,286999.300,711518.100,711514.600,711326.500,711794.900,375615.800,712227.600,0.000
305284.200,287501.500,711548.400,711544.800,711356.600,711824.600,375653.300,712257.500,0.000
305631.000,287905.500,711561.400,711558.600,711369.900,711837.600,375710.000,712270.800,0.000
