EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
298294.8,282427.1,711648.2,672375.8,711510.9,711978.9,291436.6,712333.9
298055,282215.2,711636.2,671497.2,711498.7,711966.8,290991,712318.5
298238,282396.9,711650.7,671327.9,711513.2,711980.7,291016.5,712330.3
298477.4,282621.5,711665.9,671357.1,711528.1,711995.8,291173.3,712343.4
298246.9,282405.3,711651.1,670651.3,711513.2,711980.8,290835.6,712325.1
297946.7,282133.2,711634.3,669691.4,711496.4,711964.3,290335.6,712304.4
298082.1,282269.8,711648.6,669415.4,711510.3,711978.6,290298.5,712315.8
298355,282524.7,711666,669486.3,711528.1,711996.2,290486,712331.3
298206.5,282384.2,711653.9,668928.4,711516.1,711983.9,290248.2,712315.9
297863.2,282067.3,711631.8,667918.8,711493.6,711961.5,289712.9,712289.7
297932.5,282141.1,711642.8,667522.2,711504.6,711972.5,289598.3,712297.3
298226.7,282416.8,711667.3,667616.5,711529.1,711997.3,289808.7,712318.9
298181.1,282372.7,711662.5,667233.3,711524.9,711992.8,289692.3,712310.7
297820.7,282044.5,711640.4,666229.9,711502.6,711970.5,289163.6,712283.3
297785.3,282019.9,711638,665677.2,711500.1,711968.1,288937.3,712276
298075.3,282293.1,711657.8,665737.2,711519.4,711987.8,289127.7,712290.9
298116.8,282333,711659.3,665495.9,711520.9,711989.3,289112.4,712286.3
297756.6,282003.6,711641.6,664529.3,711502.8,711971.1,288609.5,712254.8
297657.4,281923.6,711640.3,663869.6,711501.6,711970,288320.8,712172.5
297931.3,282184.9,711661.2,663882.4,711522.7,711991,288481.7,711790.4
298060.3,282303.8,711668.1,663776.1,711530.2,711998.4,288555.1,711027.9
297725.8,281998.5,711645.9,662884.1,711507.4,711976.1,288096.8,709721.3
297555.5,281852.4,711642.3,662121.6,711504,711972.5,287739.4,708384.3
297785.5,282070.5,711662.1,662057.9,711524.2,711992.4,287843.9,707450.8
297974.8,282245.6,711672.4,662050.6,711534.6,712003.1,287981.7,706584.6
297683.6,281973.3,711649.4,661258,711511.6,711979.8,287588.7,705282.9
297437.3,281755.2,711639.1,660392.7,711501.1,711969.1,287163,703969.9
297623.1,281939.7,711656.1,660234.6,711518.3,711986.7,287214.8,703084.5
297878.9,282182.4,711672,660311.6,711533.8,712002,287420.6,702354.3
297655.9,281973.4,711652.9,659659.1,711514.7,711982.4,287123.8,701224.4
297349.6,281695.6,711638.6,658719.7,711500.1,711967.8,286645,699940.7
297477,281821.9,711653.9,658450.9,711515.3,711983.6,286623.1,699029.6
297759,282085.6,711670.8,658558.3,711532.3,712000.6,286843.3,698330.7
297637.9,281969.6,711661.9,658070.8,711523.6,711991.7,286656.4,697312.9
297298.7,281658.3,711644,657101.6,711505.6,711973.4,286155.1,696032.6
297360.9,281726.7,711656.1,656712.9,711517.2,711985.1,286053.1,695066.6
297656.7,282003.6,711678.6,656830.7,711539.6,712007.5,286281.3,694382.8
297623.5,281970.8,711673.9,656504.2,711535.2,712002.9,286201.6,693463.4
297253,281629.5,711649.3,655529.8,711510.8,711978.6,285688,692183.6
297224.1,281612.3,711652.9,655002.8,711514.2,711981.7,285488.9,691145.1
297509.6,281882.2,711673.7,655087.3,711534.6,712002.5,285696.5,690446.8
297568,281934.2,711673.5,654905.6,711534.6,712002.7,285715.5,689611.6
297214.1,281607.7,711651.8,653982.7,711512.6,711980.2,285235.8,688375.1
297101.5,281511.1,711647.7,653329.9,711508.6,711976.8,284947.5,687215.9
297361.5,281756.8,711669.6,653355.9,711529.9,711998.1,285105.6,686296.5
297501.1,281885.6,711676.6,653300.1,711536.4,712004.7,285196.1,685709.6
297168.5,281578,711653.1,652453.6,711513.2,711980.9,284749.4,684792.5
296984.1,281418,711647.2,651693.6,711507.2,711975.1,284380.4,683921.4
297208.2,281632.8,711666.6,651640.1,711526.8,711995,284482.3,683430.6
297409,281818.1,711674.7,651678.8,711534.8,712003.1,284636.4,682993
297139.1,281566.4,711656.6,650957.1,711516.6,711984.8,284278.5,682144.7
296888.8,281343.8,711645.5,650113.3,711505.3,711973.2,283852.1,681226.1
297056.2,281508.8,711661.1,649955.1,711520.8,711988.8,283882.9,680674.7
297308.3,281744.6,711675,650064.7,711534.6,712002.7,284085,680272
297112.9,281561.6,711658.5,649489.1,711518.1,711986,283821.1,679499.7
296797,281276.5,711640.5,648568.2,711499.9,711967.8,283338.1,678535.3
296901.2,281386.8,711653,648300.4,711512.6,711980.3,283299.9,677923
297209.3,281675.6,711679.3,648470.1,711539.1,712007.1,283554.3,677564.4
297105.6,281574.7,711669,648055.6,711528.1,711996.6,283400.4,676882.8
296753,281252.4,711647.2,647116.4,711506.1,711974.3,282899.6,675905.9
296790.6,281299.9,711656.1,646731.6,711514.6,711982.9,282780.3,675230.1
297082.9,281574.5,711676.2,646874.1,711534.6,712003.1,283009.6,674845.6
